"clip_id"	"track_number"	"title"	"artist"	"album"	"url"	"segmentStart"	"segmentEnd"	"original_url"	"mp3_path"
"29"	"01"	"Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ I Sinfonia"	"American Bach Soloists"	"J.S. Bach - Cantatas Volume V"	"http://www.magnatune.com/artists/albums/abs-cantatasfive/"	"117"	"146"	"http://he3.magnatune.com/all/01--Gleichwie%20der%20Regen%20und%20Schnee%20vom%20Himmel%20fallt%20BWV%2018_%20I%20Sinfonia--ABS.mp3"	"0/american_bach_soloists-j_s__bach__cantatas_volume_v-01-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_i_sinfonia-117-146.mp3"
"32"	"01"	"Lesson 1 in G Major_ Prelude (James Nares)"	"Steven Devine"	"Portrait of an English Harpsichord"	"http://www.magnatune.com/artists/albums/sdevine-portrait/"	"0"	"29"	"http://he3.magnatune.com/all/01--Lesson%201%20in%20G%20Major_%20Prelude%20(James%20Nares)--Steven%20Devine.mp3"	"e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-0-29.mp3"
"33"	"01"	"Lesson 1 in G Major_ Prelude (James Nares)"	"Steven Devine"	"Portrait of an English Harpsichord"	"http://www.magnatune.com/artists/albums/sdevine-portrait/"	"30"	"59"	"http://he3.magnatune.com/all/01--Lesson%201%20in%20G%20Major_%20Prelude%20(James%20Nares)--Steven%20Devine.mp3"	"e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-30-59.mp3"
"35"	"01"	"Linda Morena"	"The Headroom Project"	"Jetuton Andawai"	"http://www.magnatune.com/artists/albums/headroom-jetuton/"	"0"	"29"	"http://he3.magnatune.com/all/01--Linda%20Morena--The%20Headroom%20Project.mp3"	"f/the_headroom_project-jetuton_andawai-01-linda_morena-0-29.mp3"
"37"	"01"	"Linda Morena"	"The Headroom Project"	"Jetuton Andawai"	"http://www.magnatune.com/artists/albums/headroom-jetuton/"	"59"	"88"	"http://he3.magnatune.com/all/01--Linda%20Morena--The%20Headroom%20Project.mp3"	"f/the_headroom_project-jetuton_andawai-01-linda_morena-59-88.mp3"
"38"	"01"	"Linda Morena"	"The Headroom Project"	"Jetuton Andawai"	"http://www.magnatune.com/artists/albums/headroom-jetuton/"	"88"	"117"	"http://he3.magnatune.com/all/01--Linda%20Morena--The%20Headroom%20Project.mp3"	"f/the_headroom_project-jetuton_andawai-01-linda_morena-88-117.mp3"
"39"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"0"	"29"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-0-29.mp3"
"40"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"30"	"59"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-30-59.mp3"
"44"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"146"	"175"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-146-175.mp3"
"48"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"262"	"291"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-262-291.mp3"
"49"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"291"	"320"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-291-320.mp3"
"50"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"320"	"349"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-320-349.mp3"
"51"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"349"	"378"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-349-378.mp3"
"53"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"407"	"436"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-407-436.mp3"
"56"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"494"	"523"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-494-523.mp3"
"59"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"581"	"610"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-581-610.mp3"
"61"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"639"	"668"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-639-668.mp3"
"63"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"697"	"726"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-697-726.mp3"
"64"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"726"	"755"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-726-755.mp3"
"66"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"784"	"813"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-784-813.mp3"
"67"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"813"	"842"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-813-842.mp3"
"71"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"929"	"958"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-929-958.mp3"
"73"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"987"	"1016"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-987-1016.mp3"
"74"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1016"	"1045"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1016-1045.mp3"
"76"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1074"	"1103"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1074-1103.mp3"
"78"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1132"	"1161"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1132-1161.mp3"
"79"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1161"	"1190"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1161-1190.mp3"
"80"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1190"	"1219"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1190-1219.mp3"
"81"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1219"	"1248"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1219-1248.mp3"
"82"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1248"	"1277"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1248-1277.mp3"
"83"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1277"	"1306"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1277-1306.mp3"
"84"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1306"	"1335"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1306-1335.mp3"
"85"	"01"	"Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa"	"American Bach Soloists"	"Heinrich Schutz - Musicalische Exequien"	"http://www.magnatune.com/artists/albums/abs-heinrich/"	"1335"	"1364"	"http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3"	"9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1335-1364.mp3"
"90"	"01"	"My mistress hath a pritty thing (Tobias Hume)"	"Ralph Meulenbroeks"	"Gambomania"	"http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/"	"59"	"88"	"http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3"	"6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-59-88.mp3"
"91"	"01"	"My mistress hath a pritty thing (Tobias Hume)"	"Ralph Meulenbroeks"	"Gambomania"	"http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/"	"88"	"117"	"http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3"	"6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-88-117.mp3"
"92"	"01"	"My mistress hath a pritty thing (Tobias Hume)"	"Ralph Meulenbroeks"	"Gambomania"	"http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/"	"117"	"146"	"http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3"	"6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-117-146.mp3"
"94"	"01"	"My mistress hath a pritty thing (Tobias Hume)"	"Ralph Meulenbroeks"	"Gambomania"	"http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/"	"175"	"204"	"http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3"	"6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-175-204.mp3"
"97"	"01"	"Overture"	"Philharmonia Baroque Orchestra"	"Jake Heggie - To Hell and Back"	"http://www.magnatune.com/artists/albums/pb-heggie/"	"59"	"88"	"http://he3.magnatune.com/all/01--Overture--Philharmonia%20Baroque%20Orchestra.mp3"	"9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-01-overture-59-88.mp3"
"98"	"01"	"Overture"	"Philharmonia Baroque Orchestra"	"Jake Heggie - To Hell and Back"	"http://www.magnatune.com/artists/albums/pb-heggie/"	"88"	"117"	"http://he3.magnatune.com/all/01--Overture--Philharmonia%20Baroque%20Orchestra.mp3"	"9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-01-overture-88-117.mp3"
"99"	"01"	"Overture"	"Philharmonia Baroque Orchestra"	"Jake Heggie - To Hell and Back"	"http://www.magnatune.com/artists/albums/pb-heggie/"	"117"	"146"	"http://he3.magnatune.com/all/01--Overture--Philharmonia%20Baroque%20Orchestra.mp3"	"9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-01-overture-117-146.mp3"
"101"	"01"	"Under The Bright Lights"	"Rocket City Riot"	"Last Of The Pleasure Seekers"	"http://www.magnatune.com/artists/albums/rocketcity-pleasure/"	"30"	"59"	"http://he3.magnatune.com/all/01--Under%20The%20Bright%20Lights--Rocket%20City%20Riot.mp3"	"0/rocket_city_riot-last_of_the_pleasure_seekers-01-under_the_bright_lights-30-59.mp3"
"105"	"01"	"Under The Bright Lights"	"Rocket City Riot"	"Last Of The Pleasure Seekers"	"http://www.magnatune.com/artists/albums/rocketcity-pleasure/"	"146"	"175"	"http://he3.magnatune.com/all/01--Under%20The%20Bright%20Lights--Rocket%20City%20Riot.mp3"	"0/rocket_city_riot-last_of_the_pleasure_seekers-01-under_the_bright_lights-146-175.mp3"
"115"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"0"	"29"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-0-29.mp3"
"116"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"30"	"59"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-30-59.mp3"
"117"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"59"	"88"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-59-88.mp3"
"118"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"88"	"117"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-88-117.mp3"
"119"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"117"	"146"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-117-146.mp3"
"120"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"146"	"175"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-146-175.mp3"
"122"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"204"	"233"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-204-233.mp3"
"123"	"01"	"1x3"	"Tilopa"	"Turkishauch"	"http://www.magnatune.com/artists/albums/tilopa-turkishauch/"	"233"	"262"	"http://he3.magnatune.com/all/01-1x3-Tilopa.mp3"	"f/tilopa-turkishauch-01-1x3-233-262.mp3"
